URL,1. Group,2. Page Type,3. Timeframe,4. Funnel
https://www.wearethemighty.com/veterans/why-so-many-veterans-are-in-prison/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/tanks-gender/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/british-sniper-taliban-better-fighters-than-russia/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/stink-bombs/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-sports/army-navy-game-uniform-nasa/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/why-does-the-president-pardon-turkeys-every-year/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/shop-with-a-purpose/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/wwii-veteran-stories-andrew-biggio/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/gi-joe-cartoon-voice-actors-who-served/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/lists/grunt-thankful/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/ernest-hemingway-stormed-the-ritz-paris-during-wwii/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/general-patton-buried-in-luxembourg/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/military-veteran-influences-behind-dc-comics/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/veterans/boots-to-books/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/best-bolt-action-rifles/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-sports/army-navy-game-uniform-1st-armored-division/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/pearl-harbor-civilian-plane/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-branded/brothers-inspired-most-realistic-war-game-ever/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/military-bases-severe-weather/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/nfl-player-too-big/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/water-contamination-military-bases/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/family-business-military/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/marine-veteran-founders/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-milspouse/military-spouse-hiring-act/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/veterans/vet-tix-transition/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-moments/toys-for-tots-75th-anniversary/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-heroes/black-special-forces-veteran-medal-of-honor/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/first-mid-air-refueling-biplanes/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/chemotherapy-discovered-after-wwii-air-raid/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/german-reich-superman-ended-world-war-ii/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/one-naval-aviator-took-on-seven-soviet-migs-in-korea-and-won/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/stray-dog-in-london-led-to-the-training-of-search-and-rescue-dogs/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tech/time-travel-nasa/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/stealth-bomber-b-21-raider-air-force/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/army-navy-spirit/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/britain-laser-weapon/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/decorated-combat-veteran-critic-of-the-vietnam-war/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/why-soldiers-in-wwi-wrapped-their-legs/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/russia-carpet-bomb-ukraine/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/iran-assassination-plots/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/russian-hazing/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/white-house-military-social-aides-job-requirements/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-milspouse/gifts-to-buy-on-spouse-ly-this-holiday-season/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/first-black-american-to-lead-integrated-unit/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/soviet-space-program-pranked-nasa-with-first-moon-landing/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/why-george-washington-tried-to-kidnap-the-future-king-of-england/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tactical/bell-textron-black-hawk-helicopter-contract/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-moments/ballroom-dancing-hospice-veteran/,Non-Membership,Feature,Non-Evergreen,
